Predator Name,N Empty,N Full,N total,Length: Avg,Min,Max,SD
Pacific cod,266,10623,10889,52.03,7,105,15.11
Walleye pollock,915,12026,12941,42.07,6,75,14.92
Arrowtooth flounder,8262,10790,19052,41.36,8,86,13.32
Pacific halibut,1858,7361,9219,61.46,8,172,19.78
