"Year","Pred_Species","Pred_common","n_stomachs"
2005,"Bathyraja aleutica","Aleutian skate",17
2005,"Sebastolobus alascanus","Shortspine thornyhead",103
2005,"Sebastes aleutianus","Rougheye rockfish",82
2005,"Sebastes borealis","Shortraker rockfish",14
2005,"Merluccius productus","Pacific hake",2
2003,"Atheresthes stomias","Arrowtooth flounder",619
2003,"Gadus chalcogrammus","Walleye pollock",642
2003,"Raja binoculata","Big skate",30
2003,"Bathyraja aleutica","Aleutian skate",18
2003,"Bathyraja parmifera","Alaska skate",3
2003,"Raja rhina","Longnose Skate",9
2003,"Bathyraja interrupta","Sandpaper skate",6
2003,"Hippoglossus stenolepis","Pacific halibut",255
2003,"Albatrossia pectoralis","Giant grenadier",30
2003,"Anoplopoma fimbria","Sablefish",153
2003,"Pleurogrammus monopterygius","Atka mackerel",57
2003,"Gadus macrocephalus","Pacific cod",311
2003,"Sebastolobus alascanus","Shortspine thornyhead",10
2007,"Atheresthes stomias","Arrowtooth flounder",817
2007,"Gadus macrocephalus","Pacific cod",648
2007,"Gadus chalcogrammus","Walleye pollock",832
2007,"Sebastes variegatus","Harlequin rockfish",15
2007,"Hippoglossus stenolepis","Pacific halibut",676
2007,"Sebastes babcocki","Redbanded rockfish",22
2007,"Sebastes ruberrimus","Yelloweye rockfish",3
2007,"Sebastes variabilis","Dusky rockfish",42
2007,"Anoplopoma fimbria","Sablefish",319
2007,"Bathyraja trachura","Roughtail skate",1
2007,"Bathyraja interrupta","Sandpaper skate",13
2007,"Raja rhina","Longnose Skate",11
2007,"Pleurogrammus monopterygius","Atka mackerel",42
2007,"Trichodon trichodon","Pacific sandfish",7
2007,"Bathyraja parmifera","Alaska skate",8
2007,"Ophiodon elongatus","Lingcod",22
2007,"Bathyraja aleutica","Aleutian skate",13
2007,"Raja binoculata","Big skate",22
2007,"Sebastes brevispinis","Silvergray rockfish",13
2007,"Microstomus pacificus","Dover sole",124
2007,"Hippoglossoides elassodon","Flathead sole",100
2007,"Sebastes zacentrus","Sharpchin rockfish",35
2007,"Sebastes proriger","Redstripe rockfish",16
2007,"Oncorhynchus tshawytscha","Chinook salmon",1
2007,"Sebastes ciliatus","Dark rockfish",2
2007,"Squalus acanthias","Spiny dogfish",9
2009,"Ophiodon elongatus","Lingcod",31
2009,"Hippoglossus stenolepis","Pacific halibut",654
2009,"Sebastes alutus","Pacific ocean perch",86
2009,"Squalus acanthias","Spiny dogfish",24
2009,"Sebastes babcocki","Redbanded rockfish",23
2009,"Sebastolobus alascanus","Shortspine thornyhead",37
2009,"Atheresthes stomias","Arrowtooth flounder",1322
2009,"Bathyraja aleutica","Aleutian skate",11
2009,"Raja rhina","Longnose Skate",29
2009,"Sebastes ciliatus","Dark rockfish",2
2009,"Pleurogrammus monopterygius","Atka mackerel",51
2009,"Albatrossia pectoralis","Giant grenadier",5
2009,"Sebastes variabilis","Dusky rockfish",29
2009,"Raja binoculata","Big skate",34
2009,"Sebastes aleutianus","Rougheye rockfish",40
2009,"species","common",20
2009,"Sebastes borealis","Shortraker rockfish",7
2009,"Sebastes polyspinis","Northern rockfish",11
2009,"Bathyraja abyssicola","Deepsea skate",1
2009,"Bathyraja interrupta","Sandpaper skate",10
2007,"Sebastes alutus","Pacific ocean perch",8
2009,"Sebastes zacentrus","Sharpchin rockfish",11
2009,"Sebastes variegatus","Harlequin rockfish",5
2009,"Sebastes ruberrimus","Yelloweye rockfish",4
2009,"Trichodon trichodon","Pacific sandfish",2
2009,"Bathyraja parmifera","Alaska skate",4
2009,"Sebastes brevispinis","Silvergray rockfish",1
2009,"Sebastes helvomaculatus","Rosethorn rockfish",3
2007,"Merluccius productus","Pacific hake",2
2007,"Coryphaenoides acrolepis","Pacific grenadier",15
2007,"Glyptocephalus zachirus","Rex sole",162
2007,"Lepidopsetta bilineata","Southern rock sole",77
2009,"Microstomus pacificus","Dover sole",228
2009,"Hippoglossoides elassodon","Flathead sole",308
2009,"Lepidopsetta polyxystra","Northern rock sole",126
2009,"Merluccius productus","Pacific hake",46
2009,"Lepidopsetta bilineata","Southern rock sole",217
2009,"Parophrys vetulus","English sole",70
2009,"Limanda aspera","Yellowfin sole",40
2009,"Platichthys stellatus","Starry flounder",27
2007,"Parophrys vetulus","English sole",9
2009,"Hexagrammos decagrammus","Kelp greenling",21
2009,"Hemilepidotus jordani","Yellow Irish lord",65
2009,"Coryphaenoides cinereus","Popeye grenadier",5
2009,"Oncorhynchus keta","Chum salmon",4
2009,"Coryphaenoides acrolepis","Pacific grenadier",37
2007,"Lepidopsetta polyxystra","Northern rock sole",33
2009,"Lyopsetta exilis","Slender sole",14
2009,"Isopsetta isolepis","Butter sole",41
2009,"Pleuronectes quadrituberculatus","Alaska plaice",27
2007,"Isopsetta isolepis","Butter sole",28
2009,"Psettichthys melanostictus","Sand sole",9
2007,"Hemilepidotus jordani","Yellow Irish lord",20
2007,"Limanda aspera","Yellowfin sole",30
2007,"Pleuronectes quadrituberculatus","Alaska plaice",25
2007,"Platichthys stellatus","Starry flounder",10
2009,"Embassichthys bathybius","Deepsea sole",7
2007,"Hexagrammos decagrammus","Kelp greenling",5
2013,"Gadus macrocephalus","Pacific cod",980
2013,"Atheresthes stomias","Arrowtooth flounder",1791
2013,"Sebastes alutus","Pacific ocean perch",812
2013,"Gadus chalcogrammus","Walleye pollock",1124
2013,"Sebastes variabilis","Dusky rockfish",7
2013,"Sebastes babcocki","Redbanded rockfish",1
2013,"Albatrossia pectoralis","Giant grenadier",58
2011,"Gadus chalcogrammus","Walleye pollock",1100
2011,"Sebastes alutus","Pacific ocean perch",618
2011,"Hippoglossus stenolepis","Pacific halibut",669
2011,"Atheresthes stomias","Arrowtooth flounder",1287
2011,"Oncorhynchus tshawytscha","Chinook salmon",24
2011,"Gadus macrocephalus","Pacific cod",1018
2011,"Sebastes borealis","Shortraker rockfish",60
2011,"Anoplopoma fimbria","Sablefish",318
2011,"Myoxocephalus polyacanthocephalus","Great sculpin",60
