Prey_Name,Prey_Name_Clean,Prey_Name_Networks,taxonomic_rank,descriptive,commercial_species,buckley_grouping,pollock_grouping,cod_grouping,sablefish_grouping,halibut_grouping,OUTDATEDphylum_grouping,outdated_stock_arrowtooth,stock_groupings,stock_arrowtooth,stock_halibut,stock_pollock,stock_cod,network_grouping,gam_grouping,sable_group,atka_group,POP_grouping,flathead_groupings,srs_groupings
Cnidaria,Cnidaria,Cnidaria,phylum,jellyfish phylum,,Other Prey,Invert,Invert,Cnidaria,Invert,cnideria,other,other,other,other,other,other,Cnidaria,other,jellyfish,other,other,other,other
Copepoda,Copepoda,Copepoda,subclass,copepod,,Copepods,Copepoda,Invert,Invert,Invert,zooplankton,zooplankton,copepod,other,zooplankton,copepod,zooplankton,Copepoda,other,zooplankton,copepod,copepod,zooplankton,zooplankton
Cottid,Cottidae,Cottidae,family,sculpin family,Ecosystem Component,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Cottidae,other,other fish,other,other fish,other fish,other fish
Crangonidae (shrimp),Crangonidae,Crangonidae,family,Alaska Bay Shrimp,,Shrimps,Crangonidae (shrimp),Crangonidae (shrimp),Shrimp,Shrimp,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Crangonidae,other,Arthropoda,other,Arthropoda,Crangonidae,Arthropoda
Misc Crustacea,Crustacea,Crustacea,subphylum,crustaceans,,Other Prey,Invert,Invert,Invert,Invert,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Crustacea,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Ctenophora,Ctenophora sp.,Ctenophora sp.,Genus,comb jellies,,Other Prey,Invert,Invert,Invert,Invert,cnideria,other,other,other,other,other,other,Ctenophora sp.,other,other,other,other,other,other
Cumacea,Cumacea,Cumacea,order,small hooded shrimp but not really shrimp?,,Shrimps,Cumacea,Invert,Invert,Invert,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Cumacea,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Cyclopteridae,Cyclopteridae,Cyclopteridae,family,lumpsucker fish,,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Cyclopteridae,other,other fish,other,other fish,other fish,other fish
Misc Decapoda,Decapoda,Decapoda,order,order of crustaceans,,Other Prey,Invert,Invert,Invert,Invert,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Decapoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Sea Urchin,Echinodea,Echinodea,family,urchin,,Other Prey,Invert,Invert,Invert,Invert,echinodermata,other,other,other,other,other,other,Echinodea,other,other,other,other,other,other
Misc Echinoderm,Echinodermata,Echinodermata,phylum,echinoderm,,Other Prey,Invert,Invert,Invert,Invert,echinodermata,other,other,other,other,other,other,Echinodermata,other,other,other,other,other,other
Empty,Empty,Empty,other,Empty,,Empty,Empty,Empty,Empty,Empty,empty,empty,other fish,empty,empty,empty,empty,Empty,other,other fish,other,other fish,other fish,other fish
Euphausiacea,Euphausiacea,Euphausiacea,order,Krill,Forage,Euphausiids,Euphausiacea,Euphausiacea,Euphausiacea,Shrimp,zooplankton,zooplankton,euphausiids,euphausiids,zooplankton,euphausiids,euphausiids,Euphausiacea,Euphausiacea,euphausiids,euphausiids,euphausiids,euphausiids,zooplankton
Fish Eggs,Fish Eggs,Fish Eggs,other,eggs,,Fishes,Fish,Fish,Fish,Fish,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Fish Eggs,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Misc Gadidae,Gadidae,Gadidae,family,cod family,,Fishes,Fish,Fish,Misc Gadidae,Fish,fish,fish,cod,cod,cod,other fish,other fish,Gadidae,other,cod,other,other fish,other fish,other fish
Walleye pollock,Gadus chalcogrammus,Walleye pollock,species,walley pollock,Target,Fishes,Walleye pollock,Walleye pollock,Walleye pollock,Walleye pollock,walleye pollock,walleye pollock,walleye pollock,walleye pollock,walleye pollock,walleye pollock,walleye pollock,Gadus chalcogrammus,Walleye pollock,walleye pollock,other,walleye pollock,other fish,other fish
Pacific Cod,Gadus macrocephalus,Pacific cod,species,cod,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,cod,cod,cod,other fish,other fish,Gadus macrocephalus,other,cod,other,other fish,other fish,other fish
Gammaridea,Gammaridea,Gammaridea,family,Amphipod,,Gammarids,Invert,Invert,Invert,Invert,zooplankton,zooplankton,zooplankton,other,zooplankton,zooplankton,zooplankton,Gammaridea,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Gastropod,Gastropod,Gastropod,class,snails,,Other Prey,Other,Other,Other,Other,mollusca,other,other,other,other,other,other,Gastropod,other,other,other,other,other,other
Misc Hexagrammidae,Hexagrammidae,Hexagrammidae,family,greenling fish,,Fishes,Fish,Fish,Fish,Fish,fish,fish,other fish,other fish,other fish,other fish,other fish,Hexagrammidae,other,other fish,other,other fish,other fish,other fish
Flathead sole,Hippoglossoides elassodon,Hippoglossoides elassodon,species,flathead sole (flatfish),Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Hippoglossoides elassodon,other,other fish,other,other fish,other fish,flatfish
Pacific halibut,Hippoglossus stenolepis,Pacific halibut,species,halibut,Target,Fishes,Fish,Fish,Fish,Fish,fish,fish,flatfish,flatfish,flatfish,other fish,other fish,Hippoglossus stenolepis,other,other fish,other,other fish,other fish,flatfish
Hippolytidae (shrimp),Hippolytidae,Hippolytidae,family,cleaner shrimp,,Shrimps,Shrimp,Shrimp,Shrimp,Shrimp,arthropoda,arthropoda,Arthropoda,arthropoda,arthropoda,arthropoda,arthropoda,Hippolytidae,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Sea Cucumber,Holothuroidea,Holothuroidea,class,sea cucumber,,Other Prey,Invert,Invert,Invert,Invert,echinodermata,other,other,other,other,other,other,Holothuroidea,other,other,other,other,other,other
