,Pred_name,Com_name,F,E,T,% Empty,min,max,Mean,+/-SD,year
186,Elassodiscus caudatus,blackbelly snailfish,1,0,1,NA,10,10,10,NA,2011
187,Eopsetta jordani,Petrale sole,8,0,8,NA,32,48,42.625,2.534582242,2011
188,Gadus chalcogrammus,walleye pollock,1041,59,1100,NA,7,73,42.67243036,7.759815415,2011
189,Gadus macrocephalus,Pacific cod,1002,16,1018,NA,12,95,50.76347305,6.888815573,2011
190,Hemilepidotus jordani,yellow Irish lord,114,2,116,NA,19,48,36.83333333,2.781828413,2011
191,Hemitripterus bolini,bigmouth sculpin,12,12,24,NA,17,74,47.83333333,9.331845119,2011
192,Hippoglossus stenolepis,Pacific halibut,518,151,669,NA,19,147,60.65250965,9.832874531,2011
193,Lepidopsetta bilineata,rock sole,170,29,199,NA,18,54,37.65294118,3.380794069,2011
194,Merluccius productus,North Pacific hake,27,5,32,NA,20,68,46.25925926,7.085457198,2011
195,Myoxocephalus jaok,plain sculpin,20,7,27,NA,29,55,41.9,3.440853627,2011
196,Myoxocephalus polyacanthocephalus,0,48,12,60,NA,26,74,51,5.720437418,2011
197,Oncorhynchus gorbuscha,pink salmon,8,0,8,NA,44,68,55.875,4.45964044,2011
198,Oncorhynchus keta,chum salmon,23,3,26,NA,16,71,58.95652174,6.27491083,2011
199,Oncorhynchus kisutch,coho salmon,5,0,5,NA,18,63,37.4,11.49238879,2011
200,Oncorhynchus nerka,sockeye salmon,1,0,1,NA,58,58,58,NA,2011
201,Oncorhynchus tshawytscha,Chinook salmon,24,0,24,NA,21,80,55.70833333,7.286794438,2011
202,Ophiodon elongatus,0,61,28,89,NA,60,105,78.01639344,5.174852497,2011
203,Sebastes aleutianus,rougheye rockfish,88,44,132,NA,12,63,36.57954545,5.792742978,2011
204,Sebastes alutus,Pacific ocean perch,473,145,618,NA,7,48,30.31712474,3.857253739,2011
205,Sebastes babcocki,redbanded rockfish,5,0,5,NA,19,35,27.8,3.110466203,2011
206,Sebastes borealis,shortraker rockfish,30,30,60,NA,39,82,55.9,4.832272971,2011
207,Sebastes brevispinis,silvergray rockfish,53,39,92,NA,28,61,49.66037736,3.569291295,2011
208,Sebastes flavidus,yellowtain rockfish,9,2,11,NA,43,59,50.55555556,2.599412327,2011
209,Sebastes polyspinis,northern rockfish,99,57,156,NA,33,48,39.65656566,1.62279932,2011
210,Sebastes ruberrimus,yelloweye rockfish,8,4,12,NA,35,67,55.75,6.484872507,2011
211,Sebastolobus alascanus,0,87,54,141,NA,15,82,31.67816092,5.130559522,2011
212,species,0,45,47,92,NA,16,52,37.04444444,4.491096692,2011
213,Squalus acanthias,spiny dogfish,64,22,86,NA,56,104,79.5,4.939314264,2011
214,Sebastes crameri,0,0,1,1,NA,NA,NA,NA,NA,NA
215,Albatrossia pectoralis,giant grenadier,47,11,58,18.96551724,18,32,25.70212766,1.930630933,2013
216,Atheresthes stomias,arrowtooth flounder,818,973,1791,54.32719151,11,81,41.6198044,6.534457186,2013
217,Gadus chalcogrammus,walleye pollock,1065,59,1124,5.24911032,11,73,43.35586854,8.187765461,2013
218,Gadus macrocephalus,Pacific cod,969,11,980,1.12244898,13,105,50.30134159,8.05959864,2013
219,Hemilepidotus jordani,yellow Irish lord,4,0,4,0,34,45,39.25,2.286737122,2013
220,Hippoglossus stenolepis,Pacific halibut,1111,257,1368,18.78654971,8,163,60.40684068,9.189228271,2013
221,Sebastes alutus,Pacific ocean perch,589,223,812,27.46305419,8,50,32.8098472,3.746012783,2013
222,Sebastes babcocki,redbanded rockfish,1,0,1,0,29,29,29,NA,2013
223,Sebastes polyspinis,northern rockfish,10,12,22,54.54545455,36,46,40.6,1.567021236,2013
224,Sebastes variabilis,0,5,2,7,28.57142857,33,47,43.2,2.924038303,2013
225,Atheresthes evermanni,Kamchatka flounder,1,2,3,66.66666667,38,38,38,NA,2015
226,Atheresthes stomias,arrowtooth flounder,806,766,1572,48.72773537,13,77,40.74441687,6.323262531,2015
227,Gadus chalcogrammus,walleye pollock,1040,69,1109,6.221821461,6,69,42.73653846,7.028263639,2015
228,Gadus macrocephalus,Pacific cod,926,29,955,3.036649215,16,98,49.78833693,6.713610903,2015
